timestamp,product_id,product_name,category,quantity,price,total,payment_method
2025-04-09 18:57:27,P1004,Desk Lamp,Home,3,24.99,74.97,Credit Card
2025-04-14 03:08:00,P1001,Wireless Mouse,Electronics,2,19.99,39.98,Bank Transfer
2025-04-16 17:11:05,P1003,Running Shoes,Footwear,1,59.99,59.99,Credit Card
2025-04-05 23:42:42,P1006,Notebook,Stationery,4,2.99,11.96,PayPal
2025-05-01 18:36:30,P1002,Bluetooth Headphones,Electronics,2,49.99,99.98,Bank Transfer
2025-04-18 06:05:12,P1005,Water Bottle,Fitness,3,9.99,29.97,Credit Card
2025-04-14 03:03:39,P1002,Bluetooth Headphones,Electronics,2,49.99,99.98,Debit Card
2025-04-13 21:22:25,P1005,Water Bottle,Fitness,2,9.99,19.98,Cash
2025-04-26 13:34:11,P1001,Wireless Mouse,Electronics,1,19.99,19.99,Cash
2025-04-26 06:58:30,P1006,Notebook,Stationery,3,2.99,8.97,Credit Card
2025-04-07 02:01:24,P1006,Notebook,Stationery,1,2.99,2.99,Credit Card
2025-04-14 04:42:19,P1003,Running Shoes,Footwear,4,59.99,239.96,Cash
2025-04-27 21:33:43,P1005,Water Bottle,Fitness,2,9.99,19.98,Cash
2025-05-05 15:48:25,P1004,Desk Lamp,Home,3,24.99,74.97,Bank Transfer
2025-05-03 17:40:27,P1004,Desk Lamp,Home,3,24.99,74.97,Cash
2025-04-24 07:04:07,P1006,Notebook,Stationery,4,2.99,11.96,Credit Card
2025-04-16 03:12:35,P1002,Bluetooth Headphones,Electronics,5,49.99,249.95,Debit Card
2025-04-15 03:50:20,P1003,Running Shoes,Footwear,4,59.99,239.96,Debit Card
2025-04-17 17:44:48,P1003,Running Shoes,Footwear,4,59.99,239.96,Credit Card
2025-04-10 10:19:47,P1004,Desk Lamp,Home,2,24.99,49.98,Cash
2025-04-13 20:50:54,P1005,Water Bottle,Fitness,2,9.99,19.98,Cash
2025-04-27 14:21:06,P1002,Bluetooth Headphones,Electronics,1,49.99,49.99,Credit Card
2025-05-04 11:28:16,P1001,Wireless Mouse,Electronics,3,19.99,59.97,Credit Card
2025-04-10 04:44:53,P1005,Water Bottle,Fitness,4,9.99,39.96,PayPal
2025-04-23 23:29:25,P1005,Water Bottle,Fitness,5,9.99,49.95,Debit Card
2025-05-04 04:22:23,P1003,Running Shoes,Footwear,4,59.99,239.96,PayPal
2025-04-17 12:43:42,P1006,Notebook,Stationery,4,2.99,11.96,Credit Card
2025-04-08 05:30:57,P1002,Bluetooth Headphones,Electronics,3,49.99,149.97,Credit Card
2025-04-14 10:44:31,P1003,Running Shoes,Footwear,2,59.99,119.98,Bank Transfer
2025-04-15 03:32:15,P1005,Water Bottle,Fitness,3,9.99,29.97,Debit Card
2025-04-11 00:08:00,P1005,Water Bottle,Fitness,2,9.99,19.98,Credit Card
2025-04-08 12:33:44,P1005,Water Bottle,Fitness,5,9.99,49.95,Bank Transfer
2025-04-17 04:24:06,P1006,Notebook,Stationery,4,2.99,11.96,Cash
2025-05-04 03:39:31,P1004,Desk Lamp,Home,2,24.99,49.98,Bank Transfer
2025-04-12 04:25:49,P1002,Bluetooth Headphones,Electronics,1,49.99,49.99,Cash
2025-05-05 17:26:32,P1001,Wireless Mouse,Electronics,3,19.99,59.97,Cash
2025-04-25 22:05:53,P1005,Water Bottle,Fitness,4,9.99,39.96,Credit Card
2025-04-20 16:53:00,P1004,Desk Lamp,Home,3,24.99,74.97,PayPal
2025-05-01 01:42:10,P1006,Notebook,Stationery,3,2.99,8.97,Cash
2025-04-16 10:45:35,P1004,Desk Lamp,Home,5,24.99,124.95,Bank Transfer
2025-04-10 20:48:56,P1002,Bluetooth Headphones,Electronics,1,49.99,49.99,Credit Card
2025-04-14 20:49:33,P1001,Wireless Mouse,Electronics,1,19.99,19.99,Bank Transfer
2025-04-11 13:31:52,P1002,Bluetooth Headphones,Electronics,5,49.99,249.95,Credit Card
2025-04-07 02:10:41,P1004,Desk Lamp,Home,3,24.99,74.97,PayPal
2025-04-22 19:17:44,P1001,Wireless Mouse,Electronics,1,19.99,19.99,Cash
2025-04-15 11:25:03,P1005,Water Bottle,Fitness,1,9.99,9.99,PayPal
2025-05-03 12:35:32,P1005,Water Bottle,Fitness,4,9.99,39.96,PayPal
2025-04-15 07:39:18,P1003,Running Shoes,Footwear,5,59.99,299.95,PayPal
2025-04-29 12:04:43,P1001,Wireless Mouse,Electronics,5,19.99,99.95,Bank Transfer
2025-05-01 17:54:28,P1001,Wireless Mouse,Electronics,3,19.99,59.97,PayPal
2025-04-12 12:14:26,P1004,Desk Lamp,Home,5,24.99,124.95,Cash
2025-04-23 05:38:10,P1006,Notebook,Stationery,5,2.99,14.95,Cash
2025-04-16 18:27:23,P1006,Notebook,Stationery,1,2.99,2.99,Cash
2025-04-29 23:43:42,P1005,Water Bottle,Fitness,4,9.99,39.96,Bank Transfer
2025-04-28 13:42:21,P1005,Water Bottle,Fitness,4,9.99,39.96,Credit Card
2025-04-24 08:15:45,P1002,Bluetooth Headphones,Electronics,1,49.99,49.99,Credit Card
2025-04-12 19:51:12,P1006,Notebook,Stationery,4,2.99,11.96,Credit Card
2025-04-09 18:59:17,P1001,Wireless Mouse,Electronics,5,19.99,99.95,Cash
2025-04-28 07:43:55,P1006,Notebook,Stationery,4,2.99,11.96,Cash
2025-05-02 05:13:56,P1006,Notebook,Stationery,5,2.99,14.95,Credit Card
2025-04-29 12:03:25,P1005,Water Bottle,Fitness,2,9.99,19.98,Debit Card
2025-04-27 03:29:34,P1006,Notebook,Stationery,2,2.99,5.98,Credit Card
2025-04-16 10:48:46,P1004,Desk Lamp,Home,2,24.99,49.98,PayPal
2025-04-29 13:01:06,P1001,Wireless Mouse,Electronics,1,19.99,19.99,PayPal
2025-04-12 07:13:59,P1003,Running Shoes,Footwear,5,59.99,299.95,PayPal
2025-04-17 03:02:43,P1004,Desk Lamp,Home,4,24.99,99.96,Credit Card
2025-04-28 13:23:05,P1001,Wireless Mouse,Electronics,4,19.99,79.96,Credit Card
2025-04-27 02:40:54,P1004,Desk Lamp,Home,3,24.99,74.97,Debit Card
2025-04-20 03:26:04,P1001,Wireless Mouse,Electronics,4,19.99,79.96,Debit Card
2025-04-17 01:25:09,P1002,Bluetooth Headphones,Electronics,5,49.99,249.95,Bank Transfer
2025-05-02 17:46:59,P1005,Water Bottle,Fitness,4,9.99,39.96,Debit Card
2025-05-02 15:12:51,P1002,Bluetooth Headphones,Electronics,3,49.99,149.97,Bank Transfer
2025-05-01 19:23:17,P1003,Running Shoes,Footwear,5,59.99,299.95,Credit Card
2025-05-04 23:23:01,P1004,Desk Lamp,Home,5,24.99,124.95,PayPal
2025-04-18 00:17:16,P1001,Wireless Mouse,Electronics,5,19.99,99.95,PayPal
2025-05-03 02:06:54,P1002,Bluetooth Headphones,Electronics,3,49.99,149.97,Cash
2025-04-17 07:22:36,P1005,Water Bottle,Fitness,2,9.99,19.98,Cash
2025-05-01 10:41:22,P1001,Wireless Mouse,Electronics,3,19.99,59.97,Debit Card
2025-05-02 00:15:50,P1002,Bluetooth Headphones,Electronics,1,49.99,49.99,Cash
2025-04-07 19:51:08,P1004,Desk Lamp,Home,1,24.99,24.99,Credit Card
2025-04-19 07:05:51,P1003,Running Shoes,Footwear,3,59.99,179.97,PayPal
2025-04-11 14:42:47,P1001,Wireless Mouse,Electronics,1,19.99,19.99,Credit Card
2025-04-12 15:04:08,P1006,Notebook,Stationery,3,2.99,8.97,Debit Card
2025-04-06 00:40:17,P1002,Bluetooth Headphones,Electronics,3,49.99,149.97,PayPal
2025-04-13 13:52:30,P1005,Water Bottle,Fitness,4,9.99,39.96,PayPal
2025-04-12 10:18:41,P1001,Wireless Mouse,Electronics,2,19.99,39.98,Bank Transfer
2025-04-15 14:17:31,P1005,Water Bottle,Fitness,5,9.99,49.95,PayPal
2025-04-10 00:48:45,P1002,Bluetooth Headphones,Electronics,4,49.99,199.96,PayPal
2025-04-20 21:02:22,P1004,Desk Lamp,Home,3,24.99,74.97,PayPal
2025-04-09 20:41:42,P1001,Wireless Mouse,Electronics,4,19.99,79.96,Credit Card
2025-04-18 06:50:48,P1006,Notebook,Stationery,5,2.99,14.95,Credit Card
2025-04-07 16:56:47,P1002,Bluetooth Headphones,Electronics,1,49.99,49.99,Debit Card
2025-05-02 19:20:00,P1001,Wireless Mouse,Electronics,5,19.99,99.95,Credit Card
2025-05-01 18:43:01,P1001,Wireless Mouse,Electronics,2,19.99,39.98,Debit Card
2025-04-17 03:42:51,P1004,Desk Lamp,Home,3,24.99,74.97,Cash
2025-04-25 14:07:07,P1003,Running Shoes,Footwear,5,59.99,299.95,Credit Card
2025-04-26 00:29:29,P1006,Notebook,Stationery,5,2.99,14.95,Debit Card
2025-04-19 06:52:15,P1002,Bluetooth Headphones,Electronics,1,49.99,49.99,Debit Card
2025-04-16 15:42:03,P1006,Notebook,Stationery,1,2.99,2.99,PayPal
2025-04-16 17:12:03,P1001,Wireless Mouse,Electronics,4,19.99,79.96,Debit Card
